timestamp,cabinet_id,feed_id,pdu_id,reading_scope,reading_kw,source,reading_quality,source_row_id
2025-12-25T00:05:00Z,cab-d04,,pdu-main,total_cabinet,14.005,normalized-power,good,p1
2025-12-25T00:10:00Z,cab-d04,,pdu-main,total_cabinet,14.011,normalized-power,good,p2
2025-12-25T00:15:00Z,cab-d04,,pdu-main,total_cabinet,14.016,normalized-power,good,p3
2025-12-25T00:20:00Z,cab-d04,,pdu-main,total_cabinet,14.022,normalized-power,good,p4
2025-12-25T00:25:00Z,cab-d04,,pdu-main,total_cabinet,14.027,normalized-power,good,p5
2025-12-25T00:30:00Z,cab-d04,,pdu-main,total_cabinet,14.033,normalized-power,good,p6
2025-12-25T00:35:00Z,cab-d04,,pdu-main,total_cabinet,14.038,normalized-power,good,p7
2025-12-25T00:40:00Z,cab-d04,,pdu-main,total_cabinet,14.043,normalized-power,good,p8
2025-12-25T00:45:00Z,cab-d04,,pdu-main,total_cabinet,14.049,normalized-power,good,p9
2025-12-25T00:50:00Z,cab-d04,,pdu-main,total_cabinet,14.054,normalized-power,good,p10
2025-12-25T00:55:00Z,cab-d04,,pdu-main,total_cabinet,14.059,normalized-power,good,p11
2025-12-25T01:00:00Z,cab-d04,,pdu-main,total_cabinet,14.065,normalized-power,good,p12
2025-12-25T01:05:00Z,cab-d04,,pdu-main,total_cabinet,14.07,normalized-power,good,p13
2025-12-25T01:10:00Z,cab-d04,,pdu-main,total_cabinet,14.075,normalized-power,good,p14
2025-12-25T01:15:00Z,cab-d04,,pdu-main,total_cabinet,14.08,normalized-power,good,p15
2025-12-25T01:20:00Z,cab-d04,,pdu-main,total_cabinet,14.086,normalized-power,good,p16
2025-12-25T01:25:00Z,cab-d04,,pdu-main,total_cabinet,14.091,normalized-power,good,p17
2025-12-25T01:30:00Z,cab-d04,,pdu-main,total_cabinet,14.096,normalized-power,good,p18
2025-12-25T01:35:00Z,cab-d04,,pdu-main,total_cabinet,14.101,normalized-power,good,p19
2025-12-25T01:40:00Z,cab-d04,,pdu-main,total_cabinet,14.106,normalized-power,good,p20
2025-12-25T01:45:00Z,cab-d04,,pdu-main,total_cabinet,14.111,normalized-power,good,p21
2025-12-25T01:50:00Z,cab-d04,,pdu-main,total_cabinet,14.115,normalized-power,good,p22
2025-12-25T01:55:00Z,cab-d04,,pdu-main,total_cabinet,14.12,normalized-power,good,p23
2025-12-25T02:00:00Z,cab-d04,,pdu-main,total_cabinet,14.125,normalized-power,good,p24
2025-12-25T02:05:00Z,cab-d04,,pdu-main,total_cabinet,14.13,normalized-power,good,p25
2025-12-25T02:10:00Z,cab-d04,,pdu-main,total_cabinet,14.134,normalized-power,good,p26
2025-12-25T02:15:00Z,cab-d04,,pdu-main,total_cabinet,14.139,normalized-power,good,p27
2025-12-25T02:20:00Z,cab-d04,,pdu-main,total_cabinet,14.143,normalized-power,good,p28
2025-12-25T02:25:00Z,cab-d04,,pdu-main,total_cabinet,14.148,normalized-power,good,p29
2025-12-25T02:30:00Z,cab-d04,,pdu-main,total_cabinet,14.152,normalized-power,good,p30
2025-12-25T02:35:00Z,cab-d04,,pdu-main,total_cabinet,14.156,normalized-power,good,p31
2025-12-25T02:40:00Z,cab-d04,,pdu-main,total_cabinet,14.161,normalized-power,good,p32
2025-12-25T02:45:00Z,cab-d04,,pdu-main,total_cabinet,14.165,normalized-power,good,p33
2025-12-25T02:50:00Z,cab-d04,,pdu-main,total_cabinet,14.169,normalized-power,good,p34
2025-12-25T02:55:00Z,cab-d04,,pdu-main,total_cabinet,14.173,normalized-power,good,p35
2025-12-25T03:00:00Z,cab-d04,,pdu-main,total_cabinet,14.177,normalized-power,good,p36
2025-12-25T03:05:00Z,cab-d04,,pdu-main,total_cabinet,14.181,normalized-power,good,p37
2025-12-25T03:10:00Z,cab-d04,,pdu-main,total_cabinet,14.184,normalized-power,good,p38
