user_id,doc_id,collection,expected_access,test_case_count,tested_as_allowed,tested_as_forbidden,leak_found,allowed_evidence_found
user_engineering,doc_engineering_004,engineering,ALLOWED,1,True,False,False,False
user_engineering,doc_engineering_009,engineering,ALLOWED,1,True,False,False,False
user_engineering,doc_engineering_014,engineering,ALLOWED,1,True,False,False,False
user_engineering,doc_engineering_019,engineering,ALLOWED,0,False,False,False,False
user_engineering,doc_finance_002,finance,FORBIDDEN,1,False,True,False,False
user_engineering,doc_finance_007,finance,FORBIDDEN,1,False,True,False,False
user_engineering,doc_finance_012,finance,FORBIDDEN,1,False,True,False,False
user_engineering,doc_finance_017,finance,FORBIDDEN,0,False,False,False,False
user_engineering,doc_hr_001,hr,FORBIDDEN,0,False,False,False,False
user_engineering,doc_hr_006,hr,FORBIDDEN,0,False,False,False,False
user_engineering,doc_hr_011,hr,FORBIDDEN,0,False,False,False,False
user_engineering,doc_hr_016,hr,FORBIDDEN,0,False,False,False,False
user_engineering,doc_legal_003,legal,FORBIDDEN,0,False,False,False,False
user_engineering,doc_legal_008,legal,FORBIDDEN,0,False,False,False,False
user_engineering,doc_legal_013,legal,FORBIDDEN,0,False,False,False,False
user_engineering,doc_legal_018,legal,FORBIDDEN,0,False,False,False,False
user_engineering,doc_public_005,public,ALLOWED,0,False,False,False,False
user_engineering,doc_public_010,public,ALLOWED,0,False,False,False,False
user_engineering,doc_public_015,public,ALLOWED,0,False,False,False,False
user_engineering,doc_public_020,public,ALLOWED,0,False,False,False,False
user_finance,doc_engineering_004,engineering,FORBIDDEN,1,False,True,False,False
user_finance,doc_engineering_009,engineering,FORBIDDEN,1,False,True,False,False
user_finance,doc_engineering_014,engineering,FORBIDDEN,1,False,True,False,False
user_finance,doc_engineering_019,engineering,FORBIDDEN,0,False,False,False,False
user_finance,doc_finance_002,finance,ALLOWED,1,True,False,False,False
user_finance,doc_finance_007,finance,ALLOWED,1,True,False,False,False
user_finance,doc_finance_012,finance,ALLOWED,1,True,False,False,False
user_finance,doc_finance_017,finance,ALLOWED,0,False,False,False,False
user_finance,doc_hr_001,hr,FORBIDDEN,0,False,False,False,False
user_finance,doc_hr_006,hr,FORBIDDEN,0,False,False,False,False
user_finance,doc_hr_011,hr,FORBIDDEN,0,False,False,False,False
user_finance,doc_hr_016,hr,FORBIDDEN,0,False,False,False,False
user_finance,doc_legal_003,legal,FORBIDDEN,0,False,False,False,False
user_finance,doc_legal_008,legal,FORBIDDEN,0,False,False,False,False
user_finance,doc_legal_013,legal,FORBIDDEN,0,False,False,False,False
user_finance,doc_legal_018,legal,FORBIDDEN,0,False,False,False,False
user_finance,doc_public_005,public,ALLOWED,0,False,False,False,False
user_finance,doc_public_010,public,ALLOWED,0,False,False,False,False
user_finance,doc_public_015,public,ALLOWED,0,False,False,False,False
user_finance,doc_public_020,public,ALLOWED,0,False,False,False,False
user_hr,doc_engineering_004,engineering,FORBIDDEN,1,False,True,False,False
user_hr,doc_engineering_009,engineering,FORBIDDEN,1,False,True,False,False
user_hr,doc_engineering_014,engineering,FORBIDDEN,0,False,False,False,False
user_hr,doc_engineering_019,engineering,FORBIDDEN,0,False,False,False,False
user_hr,doc_finance_002,finance,FORBIDDEN,0,False,False,False,False
user_hr,doc_finance_007,finance,FORBIDDEN,0,False,False,False,False
user_hr,doc_finance_012,finance,FORBIDDEN,0,False,False,False,False
user_hr,doc_finance_017,finance,FORBIDDEN,0,False,False,False,False
user_hr,doc_hr_001,hr,ALLOWED,1,True,False,False,False
user_hr,doc_hr_006,hr,ALLOWED,1,True,False,False,False
user_hr,doc_hr_011,hr,ALLOWED,0,False,False,False,False
user_hr,doc_hr_016,hr,ALLOWED,0,False,False,False,False
user_hr,doc_legal_003,legal,FORBIDDEN,0,False,False,False,False
user_hr,doc_legal_008,legal,FORBIDDEN,0,False,False,False,False
user_hr,doc_legal_013,legal,FORBIDDEN,0,False,False,False,False
user_hr,doc_legal_018,legal,FORBIDDEN,0,False,False,False,False
user_hr,doc_public_005,public,ALLOWED,0,False,False,False,False
user_hr,doc_public_010,public,ALLOWED,0,False,False,False,False
user_hr,doc_public_015,public,ALLOWED,0,False,False,False,False
user_hr,doc_public_020,public,ALLOWED,0,False,False,False,False
user_legal,doc_engineering_004,engineering,FORBIDDEN,1,False,True,False,False
user_legal,doc_engineering_009,engineering,FORBIDDEN,1,False,True,False,False
user_legal,doc_engineering_014,engineering,FORBIDDEN,0,False,False,False,False
user_legal,doc_engineering_019,engineering,FORBIDDEN,0,False,False,False,False
user_legal,doc_finance_002,finance,FORBIDDEN,0,False,False,False,False
user_legal,doc_finance_007,finance,FORBIDDEN,0,False,False,False,False
user_legal,doc_finance_012,finance,FORBIDDEN,0,False,False,False,False
user_legal,doc_finance_017,finance,FORBIDDEN,0,False,False,False,False
user_legal,doc_hr_001,hr,FORBIDDEN,0,False,False,False,False
user_legal,doc_hr_006,hr,FORBIDDEN,0,False,False,False,False
user_legal,doc_hr_011,hr,FORBIDDEN,0,False,False,False,False
user_legal,doc_hr_016,hr,FORBIDDEN,0,False,False,False,False
user_legal,doc_legal_003,legal,ALLOWED,1,True,False,False,False
user_legal,doc_legal_008,legal,ALLOWED,1,True,False,False,False
user_legal,doc_legal_013,legal,ALLOWED,0,False,False,False,False
user_legal,doc_legal_018,legal,ALLOWED,0,False,False,False,False
user_legal,doc_public_005,public,ALLOWED,0,False,False,False,False
user_legal,doc_public_010,public,ALLOWED,0,False,False,False,False
user_legal,doc_public_015,public,ALLOWED,0,False,False,False,False
user_legal,doc_public_020,public,ALLOWED,0,False,False,False,False
